Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "OpenROV Controller 2.7.brd" as of: 8/18/2014 1:49:21 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,1.780,2.430,270
C2,Top,1.750,2.010,270
C3,Top,2.905,2.235,0
C4,Top,2.920,2.610,0
C5,Top,2.970,0.800,270
C6,Top,3.705,1.930,270
C7,Top,4.995,1.425,270
C8,Top,5.270,0.975,270
C9,Top,5.360,0.975,270
C10,Top,5.495,0.705,0
C11,Top,5.755,0.835,0
C12,Top,5.170,1.590,270
C13,Top,5.765,1.020,180
C14,Top,5.765,0.925,180
C15,Top,5.010,1.650,90
C16,Top,4.975,1.855,270
C17,Top,4.075,1.840,270
C18,Top,4.625,1.990,0
C19,Top,4.610,2.115,90
C20,Top,4.610,2.240,270
C21,Top,3.660,2.055,180
C22,Top,4.060,2.705,180
C23,Top,3.680,2.535,90
C24,Top,3.405,2.465,90
C25,Top,3.400,2.150,0
C26,Top,3.480,2.290,90
C27,Top,3.470,2.030,0
C28,Top,4.135,1.600,180
C29,Top,3.690,0.110,0
C30,Top,4.162,1.840,270
C31,Top,2.445,1.545,90
C32,Top,2.450,1.250,90
C33,Top,2.400,0.810,180
C34,Top,5.645,0.450,270
C35,Top,5.145,0.705,180
C36,Top,2.095,1.480,180
C37,Top,2.180,1.260,90
C38,Top,2.220,0.925,270
C39,Top,1.152,2.600,90
C40,Top,1.152,1.575,90
C41,Top,1.152,0.550,90
C42,Top,3.495,1.795,270
C43,Top,4.960,2.010,180
C44,Top,5.040,2.250,180
D1,Top,2.550,2.270,270
D2,Top,2.550,1.945,270
D3,Top,3.170,2.010,270
D4,Top,4.700,1.165,0
D5,Top,3.325,1.785,270
D6,Top,5.110,0.850,180
D7,Top,5.755,2.565,270
D8,Top,5.615,2.560,270
D9,Top,5.475,2.560,270
D10,Top,5.335,2.560,270
F1,Top,5.030,1.025,0
FB1,Top,2.855,0.900,0
FID1,Top,0.185,0.320,0
FID2,Top,4.995,0.110,0
FID3,Top,1.585,2.935,0
FID4,Top,3.880,1.430,0
FID5,Top,4.585,2.570,0
L1,Top,5.515,1.365,0
LED1,Top,4.275,0.165,180
LED2,Top,4.535,0.165,180
LED3,Top,4.675,0.165,0
LED4,Top,4.800,0.165,0
LED5,Top,4.405,0.165,180
LED6,Top,3.875,0.165,180
LED7,Top,4.010,0.165,180
LED8,Top,4.145,0.165,0
OC1,Top,5.165,0.255,270
Q1,Top,4.755,1.380,270
Q2,Top,3.565,1.650,90
Q3,Top,2.685,1.680,90
Q4,Top,5.750,2.320,0
Q5,Top,5.585,2.320,0
Q6,Top,5.420,2.320,0
Q7,Top,5.255,2.320,0
Q8,Top,5.055,2.375,90
Q9,Top,5.000,2.605,90
R1,Top,2.910,2.335,0
R2,Top,2.915,1.995,0
R3,Top,3.295,0.810,90
R4,Top,4.690,1.065,180
R5,Top,3.755,1.765,90
R6,Top,3.410,1.795,90
R7,Top,3.720,1.635,270
R8,Top,4.800,0.950,90
R9,Top,3.410,1.665,180
R10,Top,3.620,1.895,90
R11,Top,3.505,1.945,180
R12,Top,5.065,1.275,0
R13,Top,5.755,0.750,180
R14,Top,5.625,0.705,180
R16,Top,5.343,0.713,180
R17,Top,5.343,0.802,0
R18,Top,4.275,0.330,270
R19,Top,4.535,0.330,270
R20,Top,4.945,0.460,0
R21,Top,4.675,0.325,90
R22,Top,4.800,0.325,90
R23,Top,4.405,0.330,270
R24,Top,5.790,1.725,0
R25,Top,5.790,1.830,0
R26,Top,5.790,1.935,0
R27,Top,5.600,1.725,0
R28,Top,5.600,1.830,0
R29,Top,5.600,1.935,0
R30,Top,5.410,1.725,0
R31,Top,5.410,1.830,0
R32,Top,5.410,1.935,0
R33,Top,5.220,1.725,0
R34,Top,5.220,1.830,0
R35,Top,5.220,1.935,0
R36,Top,5.730,2.125,90
R37,Top,5.550,2.125,90
R38,Top,5.375,2.125,90
R39,Top,5.200,2.125,90
R40,Top,5.815,2.125,90
R41,Top,5.635,2.125,90
R42,Top,5.460,2.125,90
R43,Top,5.285,2.125,90
R44,Top,3.570,2.290,270
R45,Top,3.335,2.040,0
R46,Top,3.965,0.765,0
R47,Top,4.395,0.765,0
R48,Top,4.245,0.765,180
R49,Top,2.240,1.545,90
R50,Top,2.260,1.260,270
R51,Top,3.840,0.415,0
R52,Top,3.535,0.110,0
R53,Top,3.585,0.430,0
R54,Top,3.435,0.380,90
R55,Top,4.860,2.160,270
R56,Top,4.910,2.390,0
R57,Top,5.160,2.535,0
R58,Top,5.160,2.640,0
R59,Top,2.360,1.685,180
R60,Top,2.375,1.400,180
R61,Top,2.380,1.075,180
R62,Top,4.105,0.765,180
R63,Top,3.875,0.305,90
R64,Top,4.010,0.305,90
R65,Top,4.145,0.305,90
R66,Top,2.300,0.925,90
R67,Top,3.390,0.110,0
SENS1,Top,3.225,2.235,0
SENS2,Top,3.530,2.475,0
U1,Top,2.910,2.120,180
U2,Top,2.910,2.485,180
U3,Top,5.095,1.410,180
U4,Top,5.525,0.915,180
U5,Top,4.780,1.760,0
U6,Top,4.150,2.290,90
U7,Top,4.345,1.730,0
U8,Top,3.635,0.270,90
U9,Top,2.345,1.530,0
U10,Top,2.355,1.230,0
U11,Top,2.415,0.935,0
U12,Top,5.035,2.125,270
X1,Top,4.730,2.170,270
